9732319,AL MASHRAB,2016,153148,150000,368,51.06,15000,8,10,4
9612997,ANTWERPEN EXPRESS,2013,142295,142020,366.52,48.35,13167,8,10,4
9631981,APL CHANGI,2013,151963,150166,368.5,51.06,13892,8,10,4
9454436,CMA CGM MARCO POLO,2012,175343,187625,396,53.6,16022,9,10,5
9516416,COSCO FRANCE,2013,153666,156596,365.9,51.2,13386,8,10,4
9467263,CSCL JUPITER,2011,150853,155480,366.05,51.2,14074,8,10,4
9619907,MAERSK MC-KINNEY MOLLER,2013,194849,194153,399,59,18340,8,10,6
9805465,MEISHAN BRIDGE,2018,152068,146648,365.94,51.34,13900,8,10,4
9467392,MSC BERYL,2010,140096,139419,365.74,48.4,12400,8,10,4
9484479,MSC TRIESTE,2011,143521,154663,365.18,48.4,13050,8,10,4
9806067,ONE GRUS,2019,146964,138611,364.15,50.66,14052,8,10,4
9622590,OOCL BRUSSELS,2013,141003,144342,366.47,48.2,13208,8,10,4
9667174,THALASSA DOXA,2014,148667,152344,368.5,51.06,13806,8,10,4
9704635,YM WORTH,2015,144651,145401,368.07,51.06,14080,8,10,4
9708825,AL DAHNA,2016,195636,199744,400,58.6,19870,9,11,4
9783514,COSCO SHIPPING CAPRICORN,2018,196670,197087,400,58.6,20038,9,11,4
9695121,CSCL GLOBE,2014,187541,184320,399.67,58.6,19100,9,11,4
9647461,MSC HAMBURG,2015,176490,186766,399,54,16652,9,11,4
9703291,MSC OSCAR,2014,192237,199273,395.47,59,19224,8,11,5
9767388,MSC RIFAYA,2017,193489,202338,399.99,58.84,19472,9,11,4
9769295,ONE TRIBUTE,2017,213633,196384,399.96,58.96,20170,8,11,5
9776171,OOCL HONG KONG,2017,210890,191422,399.87,58.8,21413,8,11,5
9728942,TAURUS,2016,148386,153520,369.06,51.04,14354,7,11,4
9869186,HMM GARAM,2021,152003,160927,365.16,51,16010,6,12,4
9773222,MOL TREASURE,2018,210691,189766,400,58.66,20182,8,12,4
9776418,CMA CGM ANTOINE DE SAINT EXUPERY,2018,217673,202684,400,59,20776,7,13,4
9863340,HMM HELSINKI,2020,228283,232606,399.9,61,23964,7,13,4
9868352,HMM STOCKHOLM,2020,232311,229039,399.9,61.5,23820,7,13,4
9778820,MILAN MAERSK,2017,214286,190326,399,58.6,20568,6,13,5
9795610,COSCO SHIPPING UNIVERSE,2018,215553,198485,399.9,58.77,21237,6,14,4
